id,stage,date,team_name_home,team_home_score,team_name_away,team_away_score,goals_scorers,pens,pens_home_score,pens_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away
38, Group stage: Matchday 2 , 16.06.2021 , Finland ,0, Russia ,1,"[[{'team': 'away'}, {'player': 'Aleksey Miranchuk'}, {'minute': '47'}]]",False,False,False,41%, 59% ,11,14,1,3
39, Group stage: Matchday 1 , 15.06.2021 , France ,1, Germany ,0,"[[{'team': 'home'}, {'player': 'own goal-Mats Hummels'}, {'minute': '20'}]]",False,False,False,38%, 62% ,4,10,1,1
40, Group stage: Matchday 1 , 15.06.2021 , Hungary ,0, Portugal ,3,"[[{'team': 'away'}, {'player': 'Raphael Guerreiro'}, {'minute': '84'}], [{'team': 'away'}, {'player': 'Cristiano Ronaldo'}, {'minute': '87'}], [{'team': 'away'}, {'player': 'Cristiano Ronaldo'}, {'minute': '92'}]]",False,False,False,30%, 70% ,5,11,3,7
41, Group stage: Matchday 1 , 14.06.2021 , Spain ,0, Sweden ,0,['no goals'],False,False,False,86%, 14% ,17,4,5,1
42, Group stage: Matchday 1 , 14.06.2021 , Poland ,1, Slovakia ,2,"[[{'team': 'away'}, {'player': 'own goal-Wojciech Szczesny'}, {'minute': '18'}], [{'team': 'home'}, {'player': 'Karol Linetty'}, {'minute': '46'}], [{'team': 'away'}, {'player': 'Milan Skriniar'}, {'minute': '69'}]]",False,False,False,58%, 42% ,17,11,3,2
43, Group stage: Matchday 1 , 14.06.2021 , Scotland ,0, Czech Republic ,2,"[[{'team': 'away'}, {'player': 'Patrik Schick'}, {'minute': '42'}], [{'team': 'away'}, {'player': 'Patrik Schick'}, {'minute': '52'}]]",False,False,False,58%, 42% ,19,10,4,7
44, Group stage: Matchday 1 , 13.06.2021 , Netherlands ,3, Ukraine ,2,"[[{'team': 'home'}, {'player': 'Georginio Wijnaldum'}, {'minute': '52'}], [{'team': 'home'}, {'player': 'Wout Weghorst'}, {'minute': '58'}], [{'team': 'away'}, {'player': 'Andriy Yarmolenko'}, {'minute': '75'}], [{'team': 'away'}, {'player': 'Roman Yaremchuk'}, {'minute': '79'}], [{'team': 'home'}, {'player': 'Denzel Dumfries'}, {'minute': '85'}]]",False,False,False,62%, 38% ,15,7,7,5
45, Group stage: Matchday 1 , 13.06.2021 , Austria ,3, North Macedonia ,1,"[[{'team': 'home'}, {'player': 'Stefan Lainer'}, {'minute': '18'}], [{'team': 'away'}, {'player': 'Goran Pandev'}, {'minute': '28'}], [{'team': 'home'}, {'player': 'Michael Gregoritsch'}, {'minute': '78'}], [{'team': 'home'}, {'player': 'Marko Arnautovic'}, {'minute': '89'}]]",False,False,False,63%, 37% ,10,7,6,2
46, Group stage: Matchday 1 , 13.06.2021 , England ,1, Croatia ,0,"[[{'team': 'home'}, {'player': 'Raheem Sterling'}, {'minute': '57'}]]",False,False,False,49%, 51% ,8,8,2,2
47, Group stage: Matchday 1 , 12.06.2021 , Belgium ,3, Russia ,0,"[[{'team': 'home'}, {'player': 'Romelu Lukaku'}, {'minute': '10'}], [{'team': 'home'}, {'player': 'Thomas Meunier'}, {'minute': '34'}], [{'team': 'home'}, {'player': 'Romelu Lukaku'}, {'minute': '88'}]]",False,False,False,67%, 33% ,9,5,4,1
48, Group stage: Matchday 1 , 12.06.2021 , Denmark ,0, Finland ,1,"[[{'team': 'away'}, {'player': 'Joel Pohjanpalo'}, {'minute': '60'}]]",False,False,False,70%, 30% ,22,1,6,1
49, Group stage: Matchday 1 , 12.06.2021 , Wales ,1, Switzerland ,1,"[[{'team': 'away'}, {'player': 'Breel Embolo'}, {'minute': '49'}], [{'team': 'home'}, {'player': 'Kieffer Moore'}, {'minute': '74'}]]",False,False,False,35%, 65% ,9,18,2,4
50, Group stage: Matchday 1 , 11.06.2021 , Turkey ,0, Italy ,3,"[[{'team': 'away'}, {'player': 'own goal-Merih Demiral'}, {'minute': '53'}], [{'team': 'away'}, {'player': 'Ciro Immobile'}, {'minute': '66'}], [{'team': 'away'}, {'player': 'Lorenzo Insigne'}, {'minute': '79'}]]",False,False,False,36%, 64% ,3,24,0,8
